写入Crop表错误，variety序号为： 171   注册号为: 川审茶树2010 002
写入Crop表错误，variety序号为： 195   注册号为: 川审茶树2010 001
写入Crop表错误，variety序号为： 258   注册号为: 鲁农审2007049号
写入Crop表错误，variety序号为： 284   注册号为: 鲁农审字[2004]019号
写入Crop表错误，variety序号为： 292   注册号为: 鲁农审字[2004]018号
写入Crop表错误，variety序号为： 338   注册号为: 鲁农审字[2004]017号
写入Crop表错误，variety序号为： 454   注册号为: 晋审豆2008001
写入Crop表错误，variety序号为： 530   注册号为: 晋审豆2007002
写入Crop表错误，variety序号为： 797   注册号为: 晋审豆2007001
写入Crop表错误，variety序号为： 800   注册号为: 晋审豆2008003
写入Crop表错误，variety序号为： 802   注册号为: 晋审豆2008004
写入Crop表错误，variety序号为： 813   注册号为: 晋审豆2007003
写入Crop表错误，variety序号为： 815   注册号为: 晋审豆2007004
写入Crop表错误，variety序号为： 817   注册号为: 晋审豆2008002
写入Crop表错误，variety序号为： 819   注册号为: 晋审豆2009001
写入Crop表错误，variety序号为： 821   注册号为: 晋审豆2009002
写入Crop表错误，variety序号为： 1546   注册号为: 渝审柑桔2006002
写入Crop表错误，variety序号为： 2591   注册号为: 晋审薯2008002
写入Crop表错误，variety序号为： 2637   注册号为: 晋审薯2007001
写入Crop表错误，variety序号为： 2639   注册号为: 晋审薯2007002
写入Crop表错误，variety序号为： 2641   注册号为: 晋审薯2008001
写入Crop表错误，variety序号为： 2809   注册号为: 晋审棉(引)2004006
写入Crop表错误，variety序号为： 3035   注册号为: 晋审棉2008003
写入Crop表错误，variety序号为： 3068   注册号为: 晋审棉2008002
写入Crop表错误，variety序号为： 3070   注册号为: 晋审棉2009001
写入Crop表错误，variety序号为： 3072   注册号为: 晋审棉2009002
写入Crop表错误，variety序号为： 3087   注册号为: 晋审棉2009005
写入Crop表错误，variety序号为： 3096   注册号为: 晋审棉2009004
写入Crop表错误，variety序号为： 3236   注册号为: 晋审棉2008001
写入Crop表错误，variety序号为： 3386   注册号为: 晋审棉2007003
写入Crop表错误，variety序号为： 3389   注册号为: 晋审棉2007004
写入Crop表错误，variety序号为： 3391   注册号为: 晋审棉2009003
写入Crop表错误，variety序号为： 3418   注册号为: 晋审棉2007001
写入Crop表错误，variety序号为： 3442   注册号为: 晋审棉2007005
写入Crop表错误，variety序号为： 4105   注册号为: 晋审黍(认)2009001
写入Crop表错误，variety序号为： 4498   注册号为: 晋审西瓜2008001
写入Crop表错误，variety序号为： 4779   注册号为: 晋审西瓜2009001
写入Crop表错误，variety序号为： 4781   注册号为: 晋审西瓜2002036
写入Crop表错误，variety序号为： 4891   注册号为: 晋审西瓜2004002
写入Crop表错误，variety序号为： 4923   注册号为: 晋审西瓜2009002
写入Crop表错误，variety序号为： 4931   注册号为: 晋审西瓜2004004
写入Crop表错误，variety序号为： 4933   注册号为: 晋审西瓜2008002
写入Crop表错误，variety序号为： 4961   注册号为: 晋审西瓜2007001
写入Crop表错误，variety序号为： 5073   注册号为: 晋审西瓜2007002
写入Crop表错误，variety序号为： 5308   注册号为: 晋审葵2008001
写入Crop表错误，variety序号为： 5322   注册号为: 晋审葵2008002
写入Crop表错误，variety序号为： 5346   注册号为: 晋审葵2009002
写入Crop表错误，variety序号为： 5361   注册号为: 晋审葵2009001
写入Crop表错误，variety序号为： 5482   注册号为: 晋审麦2007009
写入Crop表错误，variety序号为： 5487   注册号为: 晋审麦2008009
写入Crop表错误，variety序号为： 5489   注册号为: 晋审麦2010001
写入Crop表错误，variety序号为： 5491   注册号为: 晋审麦2007008
写入Crop表错误，variety序号为： 5597   注册号为: 晋审麦2006009
写入Crop表错误，variety序号为： 5599   注册号为: 晋审麦2006008
写入Crop表错误，variety序号为： 5761   注册号为: 晋审稻2006001
写入Crop表错误，variety序号为： 5771   注册号为: 晋审麦2006001
写入Crop表错误，variety序号为： 5773   注册号为: 晋审麦2006003
写入Crop表错误，variety序号为： 5775   注册号为: 晋审麦2006004
写入Crop表错误，variety序号为： 5777   注册号为: 晋审麦2006005
写入Crop表错误，variety序号为： 5779   注册号为: 晋审麦2006006
写入Crop表错误，variety序号为： 5781   注册号为: 晋审麦2007001
写入Crop表错误，variety序号为： 5783   注册号为: 晋审麦2007004
写入Crop表错误，variety序号为： 5785   注册号为: 晋审麦2008001
写入Crop表错误，variety序号为： 5787   注册号为: 晋审麦2008004
写入Crop表错误，variety序号为： 5789   注册号为: 晋审麦2008006
写入Crop表错误，variety序号为： 5794   注册号为: 晋审麦2006007
写入Crop表错误，variety序号为： 5798   注册号为: 晋审麦2008005
写入Crop表错误，variety序号为： 5837   注册号为: 晋审麦2006010
写入Crop表错误，variety序号为： 5900   注册号为: 晋审麦2007005
写入Crop表错误，variety序号为： 5902   注册号为: 晋审麦2007002
写入Crop表错误，variety序号为： 6153   注册号为: 晋审麦2007003
写入Crop表错误，variety序号为： 6156   注册号为: 晋审麦2009013
写入Crop表错误，variety序号为： 6158   注册号为: 晋审麦2008003
写入Crop表错误，variety序号为： 6164   注册号为: 晋审麦2008007
写入Crop表错误，variety序号为： 6324   注册号为: 晋审麦2008002
写入Crop表错误，variety序号为： 6363   注册号为: 晋审麦2007006
写入Crop表错误，variety序号为： 6370   注册号为: 晋审麦2006002
写入Crop表错误，variety序号为： 6372   注册号为: 晋审麦2007010
写入Crop表错误，variety序号为： 6421   注册号为: 晋审麦2007007
写入Crop表错误，variety序号为： 6429   注册号为: 晋审麦2008008
写入Crop表错误，variety序号为： 7256   注册号为: 鲁农审字[2004]004号
写入Crop表错误，variety序号为： 7285   注册号为: 晋审玉2008008
写入Crop表错误，variety序号为： 7342   注册号为: 鲁农审字[2004]012号
写入Crop表错误，variety序号为： 7421   注册号为: 晋审玉2009008
写入Crop表错误，variety序号为： 7423   注册号为: 晋审玉2008001
写入Crop表错误，variety序号为： 7476   注册号为: 晋审玉2008005
写入Crop表错误，variety序号为： 7493   注册号为: 晋审玉2007008
写入Crop表错误，variety序号为： 7584   注册号为: 晋审玉2009009
写入Crop表错误，variety序号为： 7689   注册号为: 晋审玉2007023
写入Crop表错误，variety序号为： 7691   注册号为: 晋审玉2009003
写入Crop表错误，variety序号为： 7730   注册号为: 晋审玉2007020
写入Crop表错误，variety序号为： 7923   注册号为: 晋审玉2009023
写入Crop表错误，variety序号为： 8047   注册号为: 鲁农审字[2004]009号
写入Crop表错误，variety序号为： 8050   注册号为: 鲁农审字[2004]003号
写入Crop表错误，variety序号为： 8070   注册号为: 晋审玉2008003
写入Crop表错误，variety序号为： 8073   注册号为: 晋审玉2008012
写入Crop表错误，variety序号为： 8079   注册号为: 晋审玉2008016
写入Crop表错误，variety序号为： 8116   注册号为: 晋审玉2007005
写入Crop表错误，variety序号为： 8118   注册号为: 晋审玉2007019
写入Crop表错误，variety序号为： 8163   注册号为: 晋审玉2007010
写入Crop表错误，variety序号为： 8176   注册号为: 晋审玉2009019
写入Crop表错误，variety序号为： 8369   注册号为: 晋审玉2008015
写入Crop表错误，variety序号为： 8699   注册号为: 鲁农审字[2004]008号
写入Crop表错误，variety序号为： 8739   注册号为: 晋审玉2009010
写入Crop表错误，variety序号为： 8810   注册号为: 晋审玉2008007
写入Crop表错误，variety序号为： 8813   注册号为: 晋审玉2008017
写入Crop表错误，variety序号为： 8871   注册号为: 晋审玉2007003
写入Crop表错误，variety序号为： 8873   注册号为: 晋审玉2007007
写入Crop表错误，variety序号为： 8875   注册号为: 晋审玉2007014
写入Crop表错误，variety序号为： 8877   注册号为: 晋审玉2007022
写入Crop表错误，variety序号为： 8879   注册号为: 晋审玉2008002
写入Crop表错误，variety序号为： 8881   注册号为: 晋审玉2008004
写入Crop表错误，variety序号为： 8883   注册号为: 晋审玉2008010
写入Crop表错误，variety序号为： 8885   注册号为: 晋审玉2008011
写入Crop表错误，variety序号为： 8887   注册号为: 晋审玉2008014
写入Crop表错误，variety序号为： 8889   注册号为: 晋审玉2008019
写入Crop表错误，variety序号为： 8891   注册号为: 晋审玉2009013
写入Crop表错误，variety序号为： 8893   注册号为: 晋审玉2009014
写入Crop表错误，variety序号为： 8895   注册号为: 晋审玉2009015
写入Crop表错误，variety序号为： 8897   注册号为: 晋审玉2009016
写入Crop表错误，variety序号为： 8901   注册号为: 晋审玉2007026
写入Crop表错误，variety序号为： 8904   注册号为: 晋审玉2008020
写入Crop表错误，variety序号为： 8906   注册号为: 晋审玉2008022
写入Crop表错误，variety序号为： 9025   注册号为: 晋审玉2009012
写入Crop表错误，variety序号为： 9173   注册号为: 晋审玉2007002
写入Crop表错误，variety序号为： 9251   注册号为: 晋审玉2008018
写入Crop表错误，variety序号为： 9288   注册号为: 宁审玉2010001
写入Crop表错误，variety序号为： 9322   注册号为: 晋审玉2007006
写入Crop表错误，variety序号为： 9468   注册号为: 晋审玉2007004
写入Crop表错误，variety序号为： 9709   注册号为: 晋审玉2007001
写入Crop表错误，variety序号为： 9746   注册号为: 晋审玉2007021
写入Crop表错误，variety序号为： 9796   注册号为: 晋审玉2007018
写入Crop表错误，variety序号为： 9800   注册号为: 晋审玉2009006
写入Crop表错误，variety序号为： 9852   注册号为: 晋审玉2009004
写入Crop表错误，variety序号为： 9948   注册号为: 晋审玉2007015
写入Crop表错误，variety序号为： 9950   注册号为: 晋审玉2009001
写入Crop表错误，variety序号为： 10089   注册号为: 晋审玉2009011
写入Crop表错误，variety序号为： 10188   注册号为: 晋审玉2009020
